Text,Sub-task A
Next part,NAG
"Iii8mllllllm
Mdxfvb8o90lplppi0005",NAG
🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this,NAG
"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NAG
"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements",NAG
"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks.",NAG
Best topic for Law Students !,NAG
"Even when kabir singh was unaware that Preeti is having his son he was ready
to accept other's baby and was ready to give his name though that was his baby
but still he was ready to accept preeti even after thinking she has sex with
other guy and feminists would not see this.",CAG
She is wrong .,NAG
6001733614,NAG
Hindi old muvi,NAG
rait,NAG
"Very well said dude, totally agree.",NAG
👌👌👌👌👌right,NAG
"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart.",CAG
Our Role Model - Shwetabh > Kabir ❤️,NAG
"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though",NAG
she best arbitrator in kamatipura & sonargachi area settlements,NAG
Yeah man **Fuck Bollywood** and become **mature** in real life!,NAG
"It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂..
Thoko like",CAG
"Sahi kaha 😂🤣  
Logic level ---- Bollywood",NAG
its not good i think its all dimaghi keeda being a gay or lesbian..,NAG
giving the movie review of super 30?,NAG
"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral",NAG
"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",NAG
Exactly. That was 100000000000x better than shitty kabir singh.,NAG
Chhichhore review,NAG
@mohammad ismail xc,NAG
"feminism means equality not discrimination first you should learn about this
go and study about feminism.",OAG
Like Baahubali.,NAG
"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans",NAG
"Full support 💪🙌 bro  
Keep it up 👍",NAG
"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG
I was waiting for it.... Very honest opinion,NAG
OMG 😱,NAG
Llovu,NAG
You are Right broo thanks,NAG
"she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country and
behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat .",NAG
"Watch this amazing video
[https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop](https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop)",NAG
hats off brother,NAG
Too much spoiler 🙄🙄🙄 Change Title 😒😒,NAG
"but can you catch them, no....if yes fial complian agaist them in court and
punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them",NAG
"By the way i myself being a 21st century modern girl, i did not watch four
more shots as i found the trailer and the interviews of the cast very
disturbing. Feminism is losing it’s real agenda i.e equality of gender, but
becoming an advocate of all sort of sexual shit. Feminism is much more than
sexual freedom, i request all my fellow girls to not get carried away by such
ideas.",CAG
Ranu is a bad girl 👍👍😸😆😂,NAG
"Looks like a ghost, real conjuring",CAG
The world needs more men like you,NAG
**Correct**,NAG
"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",CAG
"The whole Bollywood premise is showing a life people dream about and not
realism. It's a form of escapism from reality.",NAG
"Salute to you sir,great thinking",NAG
"Watch this song..Awesome
<https://youtu.be/4Ax1099ML-Q>",NAG
Very very nice Bor,NAG
Very nice video,NAG
Epic movie,NAG
"I had head ache during this movie and also post movie.. I simply hated the
movie , completely disagreed and indigestible plot... & people were like how
can u dislike the movie.. whereas I'm shocked what is there to be liked except
the songs...",OAG
Super bro,NAG
"Good job,,plz sub",NAG
Weren't you a liberal yourself?😂,NAG
That is why I like amir khan,NAG
Best film for sahid Kapoor,NAG
"If you are a man then you are a fool of india..now women are fighting for
men...do you know that?",CAG
"This mentally ill Lady is a barking Street dog whose intentions to pull
people's attention that she is alive",NAG
"Ram Raja - she is a female dog - who can’t even keep a husband - married and
separated twice because she likes to sleep around",OAG
Manjee.. Chakshu ji.. Nd.. Akhil ji... 😁 😂 🤣 🤣 🤣 fab.. 😁 😂 🤣,NAG
"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their fuckin mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG
"All of you r jealous of Ranu Mondal. .you have no education. .bt we support
Ranu ji fr her talent ...we never interfare her personal issues. .we love her
devine voice. .dats it..",NAG
"hi pratik, hope you are doing well. Call it a coincidence or anything, I came
across a designer liberal page criticising Kabir Singh for MISOGYNY. Frankly
speaking I have seen only Arjun Reddy, and I was unable to find single trace
of misogyny anywhere. If these people were so concerned about women, there
will call out real tharkis in our country. But anyway they like Veere Di
Wedding and 4 More shots please. So better neglect them and let them whine
like babies. Loved the couple Arjun and Deepthi, Kabir and Priti👩‍❤️‍👨👩‍❤️‍👨.
Movie is top class. Keep up the good work 🙏😇",CAG
Kabir singh one of the best love story. Dil se jud gayi movie,NAG
"Shadaa by Diljit Dosanjh  
Review  
Please 🙏 🙏",NAG
col,NAG
You are talking real sense bro..,NAG
One word for u bhaad me jaa chudail,OAG
"Wow...pratik sir u r analysis really superb...hope more people like u exists
in bollywood critics...fk those paid critics nd pseudo femmies nd commies....",CAG
"Mensutra is the leader of youth....Thnx for your contribution to our Indian
Society",NAG
"Arundhati Roy has biggest bowls ,,,,,,,",CAG
Love from bd💖💖🇧🇩,NAG
hlooo,NAG
@Babu Lal good morning ji,NAG
"Please do a fan meetup! We want to meet you in person. There are many
community centres in and near Saket that you can book for same.",NAG
awesome movie..,NAG
"how can u talk for so much time and u looking just at the camera.. which means
it's like talking to yourself..",NAG
good,NAG
"Finally, i can legally call indians gay",NAG
Really,NAG
Totally agree👍,NAG
"As per Arundhati she should give her name as Kung Fu Kutiya and she should
keep practicing balancing tooth brushes on her nipples (god of small things),
that is all she is worth for. They (Roy, Kavita Krishnan, Shehla Rashid)
should rent apartments in Hira Mandi).",NAG
Ayushmann khurana nawazuddin siddique rajkumar Rao are really good actors,NAG
8617618488,NAG
"Ya gay person never like girls....but they won't going into violence against
girls...ur approach is entirely wrong man😒😒😒👎👎👎",NAG
No means no... Awesome sarcasm...,NAG
"తమ్ముడు వైపర్ ఏంది నీ బాధ... 🤔  
గమున్నుండవాయ్...  
రిప్లై ఇవ్వలేదని ఓ కామెంట్స్ పెట్టుకుంటూపోతున్నారు  
Shahid he is good actor & better then khan's So we are all just encourage  
  
Don't negative be positive  
Prabhas & shahid one of the greatest friends So I'm just supporting  
  
I'm member of prabhas fans association  
  
Eagerly waiting For shad's oF saaho  
  
Just waiting all",NAG
I think you are one of the most honest youtubers on the platform. Respect! 🙏,NAG
All hutiyas one side and swetabh one side.,CAG
amezing brother🤘,NAG
"Give the fake name and fake details and you will end up being unable to vote,
nor open bank account nor apply for any social benefits...",NAG
কামরুন নাহার right,NAG
"to moto chele a rakom ma der chere dei tar pare ninda kare
i heat you .",OAG
Nice msg in end. Awesome video 👍👍👍👍👌👌💗💗,NAG
"Yes I saw in reality how protective lesbian girl is when it comes to her
girlfriend..... Salute to that girls...lgbt rocks",NAG
Good.. :),NAG
"Iam a medical student and we give atleast 6-7 hrs for subjects . There is
nothing like personal life in medical field. For the sake of patients you have
to sacrifice your personal life.",NAG
She is a drug adict n dinner girl of billionaire,NAG
"these mental congress paid leftist so call intellectuals thinking Hindustan is
a jock.. these group will be behind bar or will be eliminated before
2023...just wait...this govt will not spare",NAG
Kabir singh 2019 most overrated movie🤮🤮,NAG
Hit like if you love ayushmann khurana,NAG
@Sayan Bose Thanks.. Respect.,NAG
"Have u watched 3idiots, OMG, queen, Parmanu, Bajrangi Bhaijaan, Sultan,
Dangal, Padman etc?????? Better try to watch these good movies and remove ur
negativity about bollywood.",NAG
Right 👌 bro,NAG
Best and well studied review bro...👍,NAG
Totally agree......bro..Specially for Army and for country security...,NAG
"Al9


,Alicia",NAG
Who is watching this after india beat afganistan in world cup 2019.,NAG
"Extremely sad, very very tragic.",NAG
I hat ranu Mondal,OAG
Sucharita tyagi is awesome,NAG
Sucharita tyagi is chutiya critic.,OAG
"At [14:27](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m27s) ...this is
What i said to my Father after 12th 😂😂😂😂😂😂😂",NAG
Homosexuality is ban,NAG
Pseudo liberals are themselves too much intolerant,NAG
good job done by this man,NAG
Your voice is very sweet,NAG
Ya he is the only who talks sense on you tube,NAG
+Naughty World hiii,NAG
It's good video but not good to murder of female,NAG
<https://www.bbc.com/marathi/india-49022841>,NAG
This movie is really great,NAG
"I saw arjun reddy.... i am not a liberal or a feminist but it is my opinion I
saw arjun reddy yesterday on amazon and for one i had to pause whenever
character speak bcoz d subtitles were too fast i didnt have time to read the
whole thing.  
Secondly i didnt like arjun ka character- womZaniser, drug addict,
alcoholic.and very abusive.  
Thirdly, by saying i like thia girl in particular clothing and then going from
class to class plus the girl's hostel and giving it the name of love isn't
love at all and it's CREEPY like srk chasing after kajol in DDLJ.  
Fourth point, after repeated pleas by his parents, he still drinks and smokes.  
He was shown in a negative light....but atleast there was a courtroom scene.  
And he is proud to say that while he was high none of his patients died?
Seriously?  
He slapped a girl when it wasnt expected at all. He was very regressive. Not
only regressive but spoilt, unapoligetoc and obnoxious.  
One time watch but yet inspite all this i could see the effort made by the
makers.  
GOOD EFFORT... I DIDNT SAY GREAT FILM. THERE WASNT ANYTHING GREAT ABOUT THE
FILM. ARJUN REDDY WAS as my teacher would say A SPINELESS JELLYFISH.",OAG
"Bro, Nice video",NAG
You are alright,NAG
"This lady from BJP is crazy this is how u react man such a foolish and
ignorant lady",NAG
I just love how two women shout over each other about another women.,NAG
Feminists​ & Liberals are curse to humanity,OAG
"I hate these faminisim.....they don't know even the meaning of it ....and
called themselves feminist....real woman don't care of them...",OAG
"All the libtard reviews are like...  
  
""No woman should watch the movie""  
""No one should like the movie""  
""If anyone likes the movie they are a terrible person"" 🤦  
  
Even if they are not outrightly saying those statements that is exactly what
they are implying...  
  
They don't care about the 10s of thousands of women who come out of the
theaters saying they loved the movie...🤷 Because they are wrong and only the
liberal feminist point of view is the absolute truth...🤮",CAG
Toy Story 4 review sir please,NAG
Super 🤠🤠🤠,NAG
"@jacky ju IF YOU WILL TAKE 5 ML TESTOSTERONE HORMONE INJECTION AND NOT FIND A
FEMALE YOU CAN EVEN FUCK A DOG",NAG
GaNgss Of wassepur Fanss Hit A like....😂😂😂,NAG
I totally agree with you sir 💯,NAG
Salute,NAG
"bro bro....😂😂😂just try and replace the girl with ur sister or anyone close to
ya..",CAG
You got a subscriber 👍,NAG
"Sir I Have Sent A Personal Message To You on Instagram .... Please Make a
Video on it",NAG
"Arundati has to go to Bangladesh..... And we have to change her name to
kutta.... 💐💐💐💐",OAG
"Gay are not criminals, its a sexual identity, please stop sending wrong
messages",NAG
"Wow that's cool bcz i love all lesbians & gays. They are more spacial than uh
in my opinion. So i support them cz i respect them ❤❤. Bt i m nt a lesbian",NAG
"This is the failure of the Judicial system, they should make laws to punish
women who misuse this law.",CAG
"@Be Positive What is your opinion about Muslims not allowing women to enter
Masjids ? Why are there no feminists protesting for that ?",NAG
Superb nice movie,NAG
"I died at Shahid Khan , Kabir Khan 😂😂😂",NAG
"I guess it's the first film where every reviewer on youtube had a different
opinions and views .. woh!  
but I just loved the film!!",NAG
Now arundhati roy destroyed herself,CAG
"There is no action taken against woman, who file false 498a cases, so crime is
the only option left for a sensible Men like him, who was looking for
justice...",NAG
"Bad boy character is more preferable then good character in girls eye...that's
why destructive films popular...",NAG
"Well I do agree with most of the points you said..but I just feel that the
initial things done by Kabir in order to approach Priti were kind of scary.
Normally any girl would get scared. Priti's reaction to all of that was kind
of weird to me.",NAG
Watch Section 375. It's a masterpiece exposing feminism.,NAG
Bhai types of girls series continue Karo...,NAG
Very good video,NAG
Yes bro you ar right,NAG
@Franklin Bro. I agree 💯% with u...,NAG
"Shwetabh pin my comment.
You are too good man.",NAG
se se se it's hearing looking feeling veery bed...,NAG
"If films influence societies then Kabir Singh marks the beginning of a dark
society",CAG
"Gazabb review .... I thought you would praise this film... Thank God you
bashed it.... Love your review",NAG
"Finally, most anticipated video of Shwetabh sir!",NAG
Sonagachi hit like❤,NAG
Encounter................Encounter................Encounter..............,OAG
If you have guts then speak against child rapist prophet mohammed,OAG
"I have not seen kabir singh yet bt have seen Arjun Reddy. Grt movie. U r very
much right to point out the hypocrisy of the liberals and so called
feminists.Actually they themselves r confused of what they want in life and as
a result of this they live a lonely life at the end of the day. They don't
want to understand relationship. Their feminism starts with the f... word and
ends in the f...... word.",OAG
nice bhai,NAG
"Expected some what like the level of Wassepur.. Disappointed.. And yeah
don't... Bring in the anti feminist or cult kinda thing.. Just put your
view... Self destruction is a good thing.....be it substance abuse.. A
""thing"".. Or a lifeless soul.. Shut your mouth and start respecting your
mother.. In fact u need your parents help",OAG
200 crores club movie hai ye 😂,NAG
One word for all haters go die somewhere else..,OAG
Oooo super,NAG
Hate this,CAG
"Savdhaan India, Kabir Singh fights back.😁😁",NAG
@Pawan Kakade Dude joker sucked. Watch my review and open your damn eyes!!,CAG
😂😂amazing practical person,NAG
Hypocrisy... is a disease,NAG
true,NAG
"Even I watched the movie and I had similar thoughts, but the only appreciable
part was Shahid's acting.",NAG
Nicevedio,NAG
Hi8,NAG
"I am a big fan, Pratik Bhai love from the USA 🇺🇸😍",NAG
They will know in 2024 Elections when we vote for Modi Government in Majority.,NAG
Nawazuddin a toxic character babat realistic presentation,NAG
Right sir ...,NAG
If anurag kasyab directed this film then it will be like crime petrol show.. 😂,NAG
Once again you nailed it!!. Keep going brother.,NAG
"This whore is a member of psuedo intellectual secular gang.She made a villa in
naive ST's land.",OAG
"Frankly I liked only Shahid and his friends acting and their relationship than
actual love story.",NAG
From thumbnail I thought it is carryminati,NAG
"Someone told me ki if you're trying to find out logics you must find it in
life not in films. So watch a movie with just nothing",NAG
"10000% true 👍👍👍
Kabir singh is a big chutiya movie",OAG
Pls review joker......,NAG
Ok thanks for your,NAG
1000th like👍,NAG
"Fuckboy isn't good , but a bully isn't either. Skewed feminism is dangerous
and so is toxic masculinity. I totally understand that you have a lot of
hatred for liberals n feminists which is justified coz of what a lot of them
have been propogating but not every idea of feminism is wrong pratik.
Bollywood has a history of showing these things ""cool"", that is my only
problem with these characters. I am all game for negative characters but I
don't like them being glorified, making them look cool. I won't even start
with 4 shots, I didn't even like alia's aggresion in gully boy so it's not one
sided. As much as I enjoy your views on nationalism, our history , I didn't
feel comfortable watching this. 🙏",CAG
"Yes, u r right man",NAG
Kabir Singh best love story ever 😘😘,NAG
"As a lesbian, I wouldn't say it'll ""completely"" contribute to reduction in
population. They need to legalize 2 children policy like China did. Also, all
couples should adopt at least 1 orphan instead of trying to reproduce. Only
25% of orphans are being adopted and others will be 18 then kicked out.
They'll become homeless. Rural areas should stop reproducing lots of children.",CAG
"If u need a realistic and grounded love story, watch '96\. Vijay setupathy and
trisha. It is a tamil movie. watch it with subs.",NAG
"Hit like for shwetabh gangwar.
👇👇",NAG
Waste a bullet on Arundathi Roy...she is a traitor,NAG
Ranu is a bad girl👍👍😸😆😂🤣,NAG
"Phone sex iam from Odisha state bhubaneswar iam just 24yr old hot and sexy boy
09777070288",NAG
Who the fuck disliked the video?,OAG
<https://youtu.be/Jtf5L1h-q9I>,NAG
My.darling,NAG
I think chhichore is more realistic.,NAG
Isiliye to real life ko movie se compare nahi kr skte.....,NAG
"Tue film is amazing...sm. ppl in dis country have problem wid
everything...intrstngly these ppl dn hv any problem wid d things that r
actually wrong...",CAG
Arundhati roy is a gr8 writer arnab pl dnt mislead the public,NAG
"Why give importance to her nonsensical utterances? No talks, only arrest her.",NAG
Love you didi 😁,NAG
"Immediate arrest her.  
who gave her prize?  
redicuous .....",OAG
"Kabir Singh is dubbing of Arjun Reddy Tollywood industry film directed by the
same guy Sandeep Reddy Vanga and what's so surprising is this movie is biggest
blockbuster of Tollywood industry in the respective year. Need more men like
you to get youth's mind into correct direction. Respect for your work man.",NAG
Tike asa..bro..i like you...,NAG
"I also watch thousands of worldwide movies Korean,Japanese,Hollywood,Taiwan
seriously after a decade I will tell you that kabir singh/Arjun reddy is a
cult classic movie in india it’s not a simple love story.bro you are awesome
you are telling the real truth.❤️",NAG
That's the truth,NAG
Coming to Delhi to watch your videos bcox net is off in Kashmir,NAG
You're a true genius!😎😎😎😎😎😎,NAG
"Harr Londa samajhta hai main Kabir Singh hu, EX: main chain smoker hu like
him, main abusive hu like him, alcoholic hu as usual like him but when it
comes to education, wisdam, carrier non of these even exist for em.",NAG
Right...,NAG
"NPR will help reaching govt schemes effectively n proprly to minor
communities.",NAG
Beautiful,NAG
"@usher luck Fair enough then ... The director's approach isn't very clear to
me however , may be it's misinterpreted , may be not . And can't comment on
the movie scenes . Started my comment stating that didn't watch it.",NAG
Nice review brother love you,NAG
Make video about Indian series streaming on Netflix and Amazon prime,NAG
"@NIRMALYA SASMAL just tell me one thing have u watched the whole speach it's
just 4-5 min u should watch it.",NAG
"I agree with you but I have a point too. Before elaborating my point, I want
to let you know that I'm here after seeing the ""Joker Movie analysis"". I
firmly believe the male character in Kabir Singh was irresponsible and doesn't
have any reflection with real life or practicality. As you said in the later
part of this video, ""if you're in relationship and your partner is self
derogating then run as fast as possible."" Don't you think this line defy your
Joker analysis, where you appraised/empathize Joker's mental state and called
the movie INCREDIBLE. But in this part you said to run ftom such type of
person, if we all keep running from person who're mentally ill then were would
our generation will end up. I'm not saying this all because I like Kabir
Singh, I'm saying this because I have depression, anxiety and personality
disorder. In the movie ""principal"" told the class about his Anger management
issue.
Kabir also has emotional/mental issues but I guess you didn't observed him
precisely as much as you observed Joker. As per WHO, one in every 20 Indian
suffer from depression; 5 out of 100.
Hope you understand what I'm trying to say. Peace ☮️",CAG
"@mala sahu India is a failed state and so do NSA , you cant scare us with your
""Nazi Gestapo"" crap",NAG
@sonali roy r8,NAG
**shahid fans hit like 😍😍**,NAG
Great Job !,NAG
"Hitesh Kumar see here in youtube some misandrists are commenting using fake
I'd.Some female misandrists are a snake of two face that means they says that
498 must be banned but they work for developing laws against men.This type of
misandrists are just a spy of radical misandrists.They are doing drama of
gender equality at daylight but at a secure time they change their form.Those
are the misandrists in the coat of gender [equality.Be](http://equality.be/)
careful from them and try to identify them.They just watching us to provide
the informations to the local misandrists in the form of gender
[equality.Like](http://equality.like/) a spy uses beard so that he cannot be
identified.Sometimes those misandrists make id using photo and name of the
boys",CAG
"Let AR use her name as range & billa and fill the same name when applying for
her Visa to any overseas countries  
Why our govt is napunsak and not revoke her passport/visa or even arrest her",CAG
Bhai good analysis,NAG
Super boss,NAG
arnab you must retire now. you are done.,NAG
"Best review. Khup negatives reviews milale Kabir singh la.. Filmi corporation
chya Suchitra tyagi tar Vish okalay tichya review madhe.. Go to masses man..
Movie is getting excellent response from people.. This type of love story is
encouraging in today's world where one night stand and extra martial affair is
comon",NAG
@Naveen Shekhar I know that's exactly what I said .,NAG
"Hi iam from Odisha state bhubaneswar 09777070288 I want make friendship with
you and meet with you if you are interested msg me on whatsapp and call me let
see 7 mine",NAG
Seriously so sad to say but ... Tatti movie,NAG
@aam admi ok,NAG
"Exactly these assholic memers posted piles of shit memes on social media about
this absolutely rubbish and nonsensical film , I can't even call it a film
such directors should stop making movies asap otherwise already shitty
bollywood is going to become even more shittier",OAG
This is really a good 1🤗🤗🤗🤗🤗,NAG
No nice video 👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨,NAG
Ranu is a,NAG
I love u sakib but opu sotiya,NAG
Salute You bhai.... Your best review till now... Dho dala...,NAG
Love u,NAG
I studied really hard the next few days after watching this movie😂,NAG
"If I shoot her, will l be jailed or I can get away with that?",NAG
Pratik bhaiya l want to ask you something,NAG
"I cannot understand how a government is sparing a antinational element
Arundhati Roy ? Her this coment is enough to be prosecuted in NIA .",NAG
Nice video 😘😘😘😘,NAG
"Govt official take census at arundhati Roy's house.. what is your name maam
..roy says- my name is cunning bitch.",NAG
Just when i was thinking wrong you just made my mind clear. Thank you.,NAG
Disgusting,OAG
Justice served....,NAG
Not thanks to God.Only thanks to you dada,NAG
"Arnab don't give more important to Mrs.Roy. Just take her in custody and
demonstrate law exist",NAG
"Lotous come out from mud but it is expected it must be shunned the stink of
mud.",NAG
Good....,NAG
Hahhaaa,NAG
